,始发地,目的地,所在航空公司,航班号,始发机场,目的机场,起飞时间,落地时间,机票价格,数据来源
0,上海,广州,吉祥航空,HO1077,虹桥国际机场,白云机场,08:00,10:15,465,吉祥航空
1,上海,广州,吉祥航空,HO1287,虹桥国际机场,白云机场,18:05,20:20,495,吉祥航空
2,上海,广州,吉祥航空,MU5539,虹桥国际机场,白云机场,08:05,10:25,960,吉祥航空
3,上海,广州,吉祥航空,MU5301,虹桥国际机场,白云机场,09:30,11:55,960,吉祥航空
4,上海,广州,吉祥航空,MU5393,虹桥国际机场,白云机场,10:05,12:25,960,吉祥航空
5,上海,广州,吉祥航空,MU5303,虹桥国际机场,白云机场,11:30,14:00,960,吉祥航空
6,上海,广州,吉祥航空,MU5305,虹桥国际机场,白云机场,12:30,15:05,960,吉祥航空
7,上海,广州,吉祥航空,MU5307,虹桥国际机场,白云机场,14:30,16:55,960,吉祥航空
8,上海,广州,吉祥航空,MU5309,虹桥国际机场,白云机场,16:30,19:05,960,吉祥航空
9,上海,广州,吉祥航空,MU5311,虹桥国际机场,白云机场,19:30,21:50,960,吉祥航空
10,上海,广州,吉祥航空,MU5313,虹桥国际机场,白云机场,20:35,23:00,710,吉祥航空
11,上海,广州,吉祥航空,MU5315,虹桥国际机场,白云机场,22:25,00:45+1,710,吉祥航空
